"Date","Location","ShortName","LongName","Administered_Daily","Administered_Cumulative","Administered_7_Day_Rolling_Average","Admin_Dose_1_Daily","Admin_Dose_1_Cumulative","Admin_Dose_1_Day_Rolling_Average","Admin_Dose_2_Daily","Admin_Dose_2_Cumulative","Admin_Dose_2_Day_Rolling_Average","Series_Complete_Daily","Series_Complete_Cumulative","Series_Complete_Day_Rolling_Average","date_type","Administered_daily_change_report","Administered_daily_change_report_7dayroll"
"2021-03-25","LTC","LTC","Long Term Care",7735,7729722,7769,3026,4557373,2472,4632,3108512,5217,4906,3109516,5336,"Admin",,
"2021-03-22","LTC","LTC","Long Term Care",7970,7707414,10954,2515,4548956,3222,5359,3094789,7619,5385,3095009,7634,"Admin",,
"2021-03-14","LTC","LTC","Long Term Care",7982,7615623,19780,1562,4522267,5769,6320,3031135,13797,6323,3031237,13801,"Admin",,
"2020-12-27","LTC","LTC","Long Term Care",8951,76591,10612,8807,73100,10142,23,78,11,23,78,11,"Admin",,
"2020-12-26","LTC","LTC","Long Term Care",9368,67640,9364,9240,64293,8914,13,55,8,13,55,7,"Admin",,
"2021-03-13","LTC","LTC","Long Term Care",10311,7607641,20172,2359,4520705,5969,7844,3024815,13969,7845,3024914,13972,"Admin",,
"2021-03-07","LTC","LTC","Long Term Care",10727,7477163,32636,2960,4481882,9397,7521,2934554,22875,7523,2934629,22885,"Admin",,
"2021-03-19","LTC","LTC","Long Term Care",13915,7689248,13131,4081,4544152,3687,9657,3081652,9240,9684,3081842,9253,"Admin",,
"2020-12-21","LTC","LTC","Long Term Care",14180,16482,2321,14011,16114,2269,0,0,0,0,0,0,"Admin",,
"2021-03-16","LTC","LTC","Long Term Care",14453,7645184,16673,4261,4530666,4695,10015,3051474,11719,10048,3051618,11728,"Admin",,
"2021-03-18","LTC","LTC","Long Term Care",14986,7675333,14333,4636,4540071,4068,10248,3071995,10041,10265,3072158,10051,"Admin",,
"2021-03-15","LTC","LTC","Long Term Care",15108,7630731,18486,4138,4526405,5345,10324,3041459,12875,10333,3041570,12880,"Admin",,
"2021-03-17","LTC","LTC","Long Term Care",15163,7660347,15431,4769,4535435,4330,10273,3061747,10857,10275,3061893,10866,"Admin",,
"2020-12-31","LTC","LTC","Long Term Care",16189,309974,35973,16112,302891,35422,70,604,80,70,604,80,"Admin",,
"2021-03-06","LTC","LTC","Long Term Care",16642,7466436,34207,4381,4478922,9781,12059,2927033,24051,12118,2927106,24061,"Admin",,
"2020-12-22","LTC","LTC","Long Term Care",16792,33274,4720,16567,32681,4636,9,9,1,9,9,1,"Admin",,
"2021-02-28","LTC","LTC","Long Term Care",21718,7248705,76997,5648,4416102,24549,15750,2774426,51617,15750,2774428,51617,"Admin",,
"2021-03-12","LTC","LTC","Long Term Care",22328,7597330,21076,6752,4518346,6258,15260,3016971,14571,15272,3017069,14583,"Admin",,
"2021-03-11","LTC","LTC","Long Term Care",22674,7575002,23598,6472,4511594,6907,15964,3001711,16417,15970,3001797,16428,"Admin",,
"2020-12-23","LTC","LTC","Long Term Care",22768,56042,7973,20161,52842,7516,14,23,3,14,23,3,"Admin",,
"2021-03-10","LTC","LTC","Long Term Care",23856,7552328,26198,7324,4505122,7552,16304,2985747,18344,16306,2985827,18354,"Admin",,
"2021-03-08","LTC","LTC","Long Term Care",24160,7501323,30683,7106,4488988,8762,16779,2951333,21579,16781,2951410,21590,"Admin",,
"2021-03-09","LTC","LTC","Long Term Care",27149,7528472,28713,8810,4497798,8230,18110,2969443,20164,18111,2969521,20174,"Admin",,
"2021-01-03","LTC","LTC","Long Term Care",32561,390689,44871,31844,382139,44148,61,724,92,61,724,92,"Admin",,
"2021-01-10","LTC","LTC","Long Term Care",35535,991682,85856,34913,975069,84704,414,4067,478,414,4067,477,"Admin",,
"2021-03-01","LTC","LTC","Long Term Care",37831,7286536,68891,11554,4427656,22197,25851,2800277,45939,25851,2800279,45939,"Admin",,
"2021-03-05","LTC","LTC","Long Term Care",39982,7449794,37905,11295,4474541,10775,28180,2914974,26708,28187,2914988,26709,"Admin",,
"2021-03-04","LTC","LTC","Long Term Care",40872,7409812,42253,10988,4463246,12144,29458,2886794,29603,29458,2886801,29603,"Admin",,
"2021-03-02","LTC","LTC","Long Term Care",40940,7327476,61369,12534,4440190,20010,28015,2828292,40706,28018,2828297,40706,"Admin",,
"2021-03-03","LTC","LTC","Long Term Care",41464,7368940,52228,12068,4452258,16411,29044,2857336,35229,29046,2857343,35229,"Admin",,
"2021-02-21","LTC","LTC","Long Term Care",42458,6709721,94893,12210,4244258,30685,29744,2413107,63151,29744,2413109,63150,"Admin",,
"2021-02-27","LTC","LTC","Long Term Care",42528,7226987,79960,11340,4410454,25487,30655,2758676,53616,30655,2758678,53616,"Admin",,
"2021-01-02","LTC","LTC","Long Term Care",46522,358128,41498,45776,350295,40857,55,663,87,55,663,86,"Admin",,
"2021-01-17","LTC","LTC","Long Term Care",49130,1819588,118272,41833,1720877,106544,7025,80597,10933,7025,80597,10932,"Admin",,
"2021-01-09","LTC","LTC","Long Term Care",50583,956147,85431,49499,940156,84266,502,3653,427,502,3653,427,"Admin",,
"2021-02-14","LTC","LTC","Long Term Care",53855,6045465,137858,24335,4029464,57394,28698,1971051,79189,28698,1971053,79189,"Admin",,
"2020-12-28","LTC","LTC","Long Term Care",59939,136530,17149,59010,132110,16571,31,109,16,31,109,15,"Admin",,
"2021-02-20","LTC","LTC","Long Term Care",60657,6667263,96521,17552,4232048,32417,42478,2383363,63001,42478,2383365,63001,"Admin",,
"2021-01-24","LTC","LTC","Long Term Care",63360,2793214,139089,40508,2420098,99889,22486,350408,38544,22487,350409,38544,"Admin",,
"2021-01-16","LTC","LTC","Long Term Care",64413,1770458,116330,55416,1679044,105555,8305,73572,9988,8305,73572,9988,"Admin",,
"2021-02-07","LTC","LTC","Long Term Care",65534,5080454,164608,29338,3627705,78378,35619,1416725,85038,35619,1416727,85038,"Admin",,
"2021-01-31","LTC","LTC","Long Term Care",67516,3928195,162140,39507,3079057,94137,27666,821458,67293,27666,821459,67292,"Admin",,
"2021-02-26","LTC","LTC","Long Term Care",70424,7184459,82550,20875,4399114,26374,48446,2728021,55305,48446,2728023,55305,"Admin",,
"2020-12-30","LTC","LTC","Long Term Care",77631,293785,33963,76457,286779,33420,259,534,73,259,534,73,"Admin",,
"2020-12-29","LTC","LTC","Long Term Care",79624,216154,26125,78212,210322,25377,166,275,38,166,275,38,"Admin",,
"2021-02-13","LTC","LTC","Long Term Care",85415,5991610,139527,40282,4005129,58109,44613,1942353,80178,44613,1942355,80178,"Admin",,
"2021-01-04","LTC","LTC","Long Term Care",85898,476587,48579,84931,467070,47851,66,790,97,66,790,97,"Admin",,
"2021-02-23","LTC","LTC","Long Term Care",93589,6897888,90432,27839,4300118,27904,64650,2543351,61432,64650,2543353,61432,"Admin",,
"2021-02-22","LTC","LTC","Long Term Care",94578,6804299,93269,28021,4272279,29468,65594,2478701,62719,65594,2478703,62719,"Admin",,
"2021-01-06","LTC","LTC","Long Term Care",94909,668406,53517,93926,657217,52920,211,1154,89,211,1154,88,"Admin",,
"2021-01-30","LTC","LTC","Long Term Care",96431,3860679,161546,57548,3039550,94280,38432,793792,66553,38432,793793,66553,"Admin",,
"2021-01-23","LTC","LTC","Long Term Care",96574,2729854,137056,62026,2379590,100078,33998,327922,36336,33998,327922,36335,"Admin",,
"2021-01-05","LTC","LTC","Long Term Care",96910,573497,51049,96221,563291,50424,153,943,95,153,943,95,"Admin",,
"2021-02-24","LTC","LTC","Long Term Care",105456,7003344,88641,37261,4337379,27654,67385,2610736,59976,67385,2610738,59976,"Admin",,
"2021-02-15","LTC","LTC","Long Term Care",105945,6151410,129859,36542,4066006,52863,68614,2039665,75822,68614,2039667,75822,"Admin",,
"2021-02-25","LTC","LTC","Long Term Care",110691,7114035,88492,40860,4378239,28392,68839,2679575,59177,68839,2679577,59176,"Admin",,
"2021-02-06","LTC","LTC","Long Term Care",111126,5014920,164891,58609,3598367,79831,51695,1381106,83902,51696,1381108,83902,"Admin",,
"2021-02-18","LTC","LTC","Long Term Care",111732,6494589,108580,35688,4179492,42274,74436,2265338,65267,74436,2265340,65266,"Admin",,
"2021-02-19","LTC","LTC","Long Term Care",112017,6606606,100058,35004,4214496,35664,75547,2340885,63306,75547,2340887,63306,"Admin",,
"2021-01-15","LTC","LTC","Long Term Care",113000,1706045,114354,109326,1623628,104710,2587,65267,8874,2587,65267,8873,"Admin",,
"2021-02-16","LTC","LTC","Long Term Care",113450,6264860,121846,38781,4104787,48415,73662,2113327,72340,73662,2113329,72340,"Admin",,
"2021-01-08","LTC","LTC","Long Term Care",113961,905564,84851,111590,890657,83734,1495,3151,363,1495,3151,363,"Admin",,
"2021-02-17","LTC","LTC","Long Term Care",117997,6382857,115476,39017,4143804,45670,77575,2190902,68803,77575,2190904,68802,"Admin",,
"2021-01-07","LTC","LTC","Long Term Care",123197,791603,68804,121850,779067,68025,502,1656,150,502,1656,150,"Admin",,
"2021-01-22","LTC","LTC","Long Term Care",127104,2633280,132462,118038,2317564,99134,8448,293924,32665,8448,293924,32665,"Admin",,
"2021-01-14","LTC","LTC","Long Term Care",141526,1593045,114491,135200,1514302,105034,5685,62680,8718,5685,62680,8717,"Admin",,
"2021-01-11","LTC","LTC","Long Term Care",143443,1135125,94076,128221,1103290,90889,14263,18330,2506,14263,18330,2505,"Admin",,
"2021-01-21","LTC","LTC","Long Term Care",144339,2506176,130447,123379,2199526,97889,20269,285476,31828,20269,285476,31828,"Admin",,
"2021-01-12","LTC","LTC","Long Term Care",156473,1291598,102585,137461,1240751,96780,17978,36308,5052,17978,36308,5052,"Admin",,
"2021-01-13","LTC","LTC","Long Term Care",159921,1451519,111873,138351,1379102,103126,20687,56995,7977,20687,56995,7977,"Admin",,
"2021-02-11","LTC","LTC","Long Term Care",160005,5734525,148483,59464,3883575,64279,99189,1808472,82854,99189,1808474,82854,"Admin",,
"2021-02-08","LTC","LTC","Long Term Care",161940,5242394,162828,68259,3695964,76705,92183,1508908,84857,92183,1508910,84856,"Admin",,
"2021-02-10","LTC","LTC","Long Term Care",162582,5574520,154779,58226,3824111,69515,102337,1709283,83980,102337,1709285,83979,"Admin",,
"2021-02-09","LTC","LTC","Long Term Care",169544,5411938,160117,69921,3765885,74437,98038,1606946,84414,98038,1606948,84413,"Admin",,
"2021-01-18","LTC","LTC","Long Term Care",170565,1990153,122146,114521,1835398,104587,55344,135941,16802,55344,135941,16801,"Admin",,
"2021-02-12","LTC","LTC","Long Term Care",171670,5906195,143200,81272,3964847,60727,89268,1897740,81190,89268,1897742,81190,"Admin",,
"2021-02-01","LTC","LTC","Long Term Care",174403,4102598,160629,79972,3159029,90174,93454,914912,69773,93454,914913,69773,"Admin",,
"2021-01-29","LTC","LTC","Long Term Care",177926,3764248,161566,108120,2982002,94920,69250,755360,65919,69250,755361,65919,"Admin",,
"2021-01-19","LTC","LTC","Long Term Care",180533,2170686,125584,116462,1951860,101587,63202,199143,23262,63202,199143,23262,"Admin",,
"2021-01-25","LTC","LTC","Long Term Care",184976,2978190,141148,107713,2527811,98916,76092,426500,41508,76092,426501,41508,"Admin",,
"2021-02-02","LTC","LTC","Long Term Care",188515,4291113,158251,85794,3244823,86216,101139,1016051,71260,101139,1016052,71260,"Admin",,
"2021-01-28","LTC","LTC","Long Term Care",190820,3586322,154306,112660,2873882,96337,77406,686110,57233,77406,686111,57233,"Admin",,
"2021-01-20","LTC","LTC","Long Term Care",191151,2361837,130045,124287,2076147,99578,66064,265207,29745,66064,265207,29744,"Admin",,
"2021-02-03","LTC","LTC","Long Term Care",199948,4491061,156508,92685,3337508,82327,105374,1121425,73246,105374,1121426,73245,"Admin",,
"2021-02-04","LTC","LTC","Long Term Care",204080,4695141,158402,96116,3433624,79963,107067,1228492,77483,107067,1228493,77483,"Admin",,
"2021-01-26","LTC","LTC","Long Term Care",205161,3183351,144666,113497,2641308,98493,90728,517228,45441,90728,517229,45440,"Admin",,
"2021-02-05","LTC","LTC","Long Term Care",208653,4903794,162792,106134,3539758,79679,100919,1329411,82007,100919,1329412,82007,"Admin",,
"2021-01-27","LTC","LTC","Long Term Care",212151,3395502,147666,119914,2761222,97868,91476,608704,49071,91476,608705,49071,"Admin",,
